,calendar_ytd_ret,financial_ytd_ret,1y_ret,6m_ret,3m_ret,exp_ret,5d_ret,3d_ret
FINPIPE,39.86,35.18,47.8,37.769999999999996,-0.13999999999999999,-8.18,1.97,6.17
FINCABLES,35.42,57.24,35.53,45.25,37.18,-5.8999999999999995,-0.67,-2.03
GRSE,122.22,136.15,224.46,150.79,77.22,-19.220000000000002,-4.36,-2.29
ESCORTS,25.55,31.11,46.89,33.0,-1.46,-10.059999999999999,0.38999999999999996,1.8900000000000001
SUPREMEIND,16.37,27.37,40.849999999999994,34.32,-5.81,-1.7000000000000002,3.05,1.6500000000000001
ELGIEQUIP,16.57,-2.65,22.43,-6.569999999999999,1.2,-8.6,1.9,5.04
RRKABEL,4.22,13.389999999999999,75.11,13.919999999999998,-7.670000000000001,-6.09,0.61,3.62
KSB,31.95,25.0,76.8,27.589999999999996,-4.92,-8.7,-0.91,-0.26
TIMKEN,11.559999999999999,33.300000000000004,7.95,28.64,-13.94,-9.08,-6.69,-1.2
GPIL,31.52,34.21,79.61,30.48,9.569999999999999,-5.949999999999999,-5.8500000000000005,2.98
MTARTECH,-21.43,-9.45,-22.259999999999998,-10.09,-11.92,-7.55,-3.26,-0.2
GRAPHITE,-1.29,-9.31,17.150000000000002,-0.59,-9.92,1.6199999999999999,-1.9,1.49
GRINDWELL,5.6000000000000005,17.75,4.0,9.719999999999999,3.5000000000000004,-5.7,1.16,1.5599999999999998
DATAPATTNS,54.400000000000006,15.67,42.92,55.24,-9.879999999999999,-7.090000000000001,-1.54,-1.9
KAYNES,100.58,77.16,189.87,82.74000000000001,69.99,27.68,21.8,7.539999999999999
PRINCEPIPE,-19.189999999999998,4.66,-11.41,-3.1399999999999997,-10.23,-11.379999999999999,0.61,3.1199999999999997
CUMMINSIND,93.53,37.830000000000005,116.97,48.03,-0.43,6.03,0.03,0.8200000000000001
PRAJIND,36.44,51.73,70.62,57.03,43.62,5.390000000000001,6.43,7.359999999999999
SUZLON,111.28,78.36,332.76,79.36,89.46,32.92,0.44,5.13
EPL,24.740000000000002,34.5,16.93,31.96,29.020000000000003,10.879999999999999,11.88,2.21
ELECON,30.8,20.979999999999997,52.190000000000005,23.07,6.069999999999999,-1.63,1.6099999999999999,1.52
JINDALSAW,58.15,36.63,101.97,31.64,18.45,16.68,1.39,4.36
ASTRAL,-1.18,-8.9,-5.2299999999999995,-2.75,-18.15,-14.299999999999999,-2.73,1.1900000000000002
USHAMART,8.6,-2.16,-4.81,-0.11,-8.7,-10.979999999999999,-4.9399999999999995,-4.81
INOXWIND,70.78999999999999,41.589999999999996,305.28,73.50999999999999,40.0,33.300000000000004,2.32,1.54
APLAPOLLO,-11.700000000000001,-12.31,-7.870000000000001,0.44,-20.119999999999997,-8.780000000000001,-5.3,-4.72
ASHOKLEY,45.93,55.93,44.73,54.61,23.89,10.75,2.16,4.4799999999999995
AIAENG,24.57,26.07,30.37,16.869999999999997,21.18,5.8999999999999995,-4.52,0.75
BEML,35.93,23.05,92.24,33.5,-4.35,-16.45,-5.38,5.67
SKFINDIA,13.450000000000001,10.489999999999998,1.08,16.85,-12.809999999999999,-9.5,-3.5000000000000004,0.27
RATNAMANI,4.08,15.32,34.0,16.950000000000003,7.779999999999999,-2.8400000000000003,-3.17,-0.65
ABB,67.93,44.18,73.68,77.28,-6.5600000000000005,3.9899999999999998,1.9300000000000002,0.8500000000000001
APARINDS,37.92,33.5,118.93,40.14,4.51,3.2399999999999998,-0.69,0.52
BEL,65.69,48.24,138.51,74.09,22.07,0.96,0.52,2.88
BHEL,51.9,29.2,205.57,35.67,-1.97,-4.9,-1.66,1.29
WELCORP,32.15,41.97,123.44,33.64,18.790000000000003,7.32,3.02,8.62
ACE,58.35,3.8600000000000003,79.84,18.68,-7.4399999999999995,-7.21,1.38,6.419999999999999
JWL,67.53,43.580000000000005,141.08,55.2,1.04,-17.349999999999998,-6.09,-3.17
BDL,56.19,47.839999999999996,134.38000000000002,65.5,14.499999999999998,-6.87,-0.9900000000000001,0.97
